Concept_Name,TermType,Template_ID,LOINC_Code,LOINC_Code2,Excluded,Compound,Notes
HPV vaccine given today,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,NULL
HRT,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
HSCT Donor Follow Up Part 1,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,?
HSCT Donor Follow Up Part 3,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,?
HV Impendance Lead Analysis,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
HXF,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,?
Hyperglycemic Symptoms,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
Hypertension Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Hypoglycemia Assessment/Counseling,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Hypoglycemic Symptoms,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
ICU Admissions for Respiratory Problem,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Identifier,Document Summary,N/A,55112-7,NULL,N,NULL,NULL
Identifier Imaging Studies,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,?
Identifies acute complications and how to prevent/detect/treat,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
"If patient has been on this medication for > 3 months, is narcotic contract in place?",Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,Y,NULL,NULL
Imaging Immunizations,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,Y,?
Imaging procedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Imaging Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Imaging Studies,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Immunization,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,NULL
Immunizations,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,NULL
Immunizations Current,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,NULL
Immunizations Given,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,NULL
Immunizations UTD,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,NULL
Immunizations/ Alternative Therapies,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,Y,alternative therapies
Impairments,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,?
IMPORTANT COMMUNICATION TO OUTPATIENT CARE PROVIDERS,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Impression,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Impression & Plan,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Impression / Recommendations,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Impression and Plan,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Impression of Dx,Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
Impression/Plan,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Impression/Problem List,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
IMPRESSION/PROBLEMS,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Impressions (problems/strengths),Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Impressions/Plans,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
IMPRESSON AND PLAN,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
In Office Procedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
INCISIONS,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
"Incontinence Medications (compliance, results, side effects)",Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
INDICATION,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
Indication for Procedure,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Indications,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,?
indications and findings,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
indications for procedure,Planned Procedure Section,2.16.840.1.113883.10.20.22.2.30,59772-4,NULL,N,NULL,NULL
Individual Needs,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,?
Infusion Report Form - IVIG,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Initial Assessment & Plan,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Initial Assessment/Summary,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Initial Interview/Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Initial Nursing Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Initial OB Physical Examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
INITIAL ORTHO TRAUMA CONSULT,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Initial Prenatal Screen,History of Past Illness Section,2.16.840.1.113883.10.20.22.2.20,11348-0,NULL,N,NULL,NULL
Initial Risk Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Initial Summary Statement,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Initital Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
In-Office Procedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
In-Office Proceedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Inpatient Med,Medications Administered Section,2.16.840.1.113883.10.20.22.2.38,29549-3,10160-0,N,Y,NULL
Inpatient Medication,Medications Administered Section,2.16.840.1.113883.10.20.22.2.38,29549-3,10160-0,N,Y,NULL
inpatient medications,Medications Administered Section,2.16.840.1.113883.10.20.22.2.38,29549-3,10160-0,N,Y,NULL
Inpatient Meds,Medications Administered Section,2.16.840.1.113883.10.20.22.2.38,29549-3,10160-0,N,Y,NULL
INR Goal,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
INR Result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Instructions After Aortic Valve Replacement Surgery,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Instructions After Kidney Injury,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,Added for re-admission project on 4/09/2015
Instructions for Your Afib,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,Added for re-admission project on 4/09/2015
Instructions Given to VNA/Facility,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
INSTRUCTIONS GIVEN TO YOUR PATIENT AT DISCHARGE,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Insulin Administration,Medications Administered Section,2.16.840.1.113883.10.20.22.2.38,29549-3,NULL,N,NULL,NULL
Insurance Information,Health insurance card?,NULL,64290-0?,NULL,N,NULL,NULL
Interim History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,?
Interperter Service,Interpreter needed?,NULL,54588-9?,NULL,N,NULL,NULL
Interval Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Interval History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,?
Interval Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Intervention,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Interventions,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Is further assessment or treatment of any pain necessary?,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,Y,NULL,NULL
Is initial or further medical assessment necessary?,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,Y,NULL,NULL
Is neurologic assessment necessary?,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,Y,NULL,NULL
"Isoimmunization (Rh, etc)",Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,?
IV line culture,Laboratory Test Section,NULL,34075-2,NULL,N,NULL,NULL
IVP Result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Key Images,Key Images,N/A,55113-5,NULL,N,NULL,?
Kidney or bladder problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Kidney Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Known Complications,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Known Immunizations (17 years and under)/Up to Date,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,NULL
KOH KUB,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Lab Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Lab Results Reviewed,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
lab test,Laboratory Test Section,NULL,34075-2,NULL,N,NULL,NULL
Lab Test Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Lab Tests Lab,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Lab Work,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Lab/Test Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Lab/Xray,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,Y,NULL
Lab/Xray Findings,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,Y,NULL
laboratories,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Laboratory,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Laboratory data,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
laboratory data on discharge,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,Y,NULL
laboratory findings,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Laboratory Procedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Laboratory Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Labs,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
LABS AND STUDIES,Laboratory Test Section,NULL,34075-2,NULL,N,NULL,NULL
Labs Lens,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Labs Ordered,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Labs Ordered/Drawn,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Labs/ X-ray Findings,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,Y,NULL
Labs/Other Findings,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Last cervical bx result & date,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Last HIV/result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Last Menstrual Period,Date last menstrual period?,NULL,8665-2?,NULL,N,NULL,NULL
Last pap result & date,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Last Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Learning Objectives,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Learning objectives were reviewed,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Legal History,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Letter Follow Up,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Lifestyle Management,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Limiting Factors,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,?
Line culture,Laboratory Test Section,NULL,34075-2,NULL,N,NULL,NULL
Lipid Abnormality,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
List Allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
List other post-tx complications,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
List peri-op complications,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Liver Function Test,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Long Term Goals,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Lower Extremity Vascular Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
LUNG ASSESSMENT,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Lung Problem,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
LVEF Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,?
Lymph Node Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Lymph nodes/heme examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Macrovascular Complications,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Main Concerns/Fears,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,?
Major Problem Identified Today,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Major Problem Identified Today and Treatment,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,Y,NULL
Male Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Marital History,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Marital Status,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Maternal History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Maternal Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Maternal Problems in Hospital,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
MD Chart Review,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
MD Counseling,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
MD Phone Call,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Med,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medical (General) History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,def can be expanded
Medical and Surgical Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Medical Clearance,Plan of Care Section,2.16.840.1.113883.10.20.22.2.10,18776-5,NULL,N,NULL,?
Medical decision making,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Medical Equipment,Medical Equipment,2.16.840.1.113883.10.20.22.2.23,46264-8,NULL,N,NULL,NULL
Medical History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Medical History/Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,Y,NULL
Medical Medication Changes,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medical Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Medical Problems/Symptoms,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Medical Problems/Symptoms/Risk Factors,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
medical summary,Document Summary,N/A,55112-7,NULL,N,NULL,NULL
Medically Cleared by,Attending physician name?,NULL,52526-1,NULL,N,NULL,NULL
Medication,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Administration Record (ENT),Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Administration Record (Eye),Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Medication Changes,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Comments,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Instructions,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication List,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Reconciliation,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Reconciliation Completed,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Reconciliation in the Urgent Care Center,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Reconciliation Performed,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Review,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Section,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medication Trial,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,10160-0,N,Y,NULL
Medication trials,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,10160-0,N,Y,NULL
Medication Use Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Medication/Anesthesia Plans,Anesthesia Section,2.16.840.1.113883.10.20.22.2.25,59774-0,NULL,N,NULL,NULL
"Medication-related (eg, risks and benefits, options, psychoeducation)",Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
MEDICATIONS - click link on left,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
"Medications (Including Herbal, OTC)",Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
"Medications (including supplements, vitamins, herbs or OTC drugs/illicit/recreational drugs/alcohol since last menstrual period (If yes, agent(s) and strength/dosage)",Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications Administered,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications Administered,Medications Administered Section,2.16.840.1.113883.10.20.22.2.38,29549-3,NULL,N,NULL,"many are under medication section instead of this category, suggest we delete the branches as this and discharge meds?"
Medications not under protocol,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
medications on admission,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
medications on discharge,Hospital Discharge Medication Section,2.16.840.1.113883.10.20.22.2.11,10183-2,NULL,N,NULL,? Should be in the dicharge medication section
medications on transfer,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications on Transfer to Rehab,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications Ordered/Prescribed,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications Prescribed,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications Reviewed,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications reviewed and updated,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications Risks/Benefits,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications Taken,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications Text,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
MEDICATIONS to be given just prior to transfer to Operating Room,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications to prevent complications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications trial,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,10160-0,N,Y,NULL
Medications Updated,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications/exposures,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications/exposures comment,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications/Side Effects,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medications/Treatments,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Medicine Allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Medicines,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Meds,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Meds on D/C Home,Hospital Discharge Medication Section,2.16.840.1.113883.10.20.22.2.11,10183-2,NULL,N,NULL,NULL
Meds/Allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Menstrual History,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,?
Mental Health,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,?
Mental Health Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Mental Status Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Message/Chief Complaint,Chief Complaint Section,1.3.6.1.4.1.19376.1.5.3.1.1.13.2.1,10154-3,NULL,N,NULL,NULL
Method of Notification,Emergency contact information?,NULL,56796-6,NULL,N,NULL,NULL
Miscellaneous Procedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Missed Appointment,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,NULL
Mode of arrival Module 1,Hospital Course Section,1.3.6.1.4.1.19376.1.5.3.1.3.5,8648-8,NULL,N,NULL,?
Monitoring,Hospital Course Section,1.3.6.1.4.1.19376.1.5.3.1.3.5,8648-8,NULL,N,NULL,NULL
MONO MOVEMENT RATINGS,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Montreal Cognitive Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Most Recent BWH EKG Result During This Admission,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
MOST RECENT REPORTED BWH LAB VALUES DURING THIS ADMISSION,Laboratory Test Section,NULL,34075-2,NULL,N,NULL,NULL
Motivational assessment/interventions,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Motivational assessment/interventions,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Motor Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
MRN,MRN,NULL,NULL,NULL,Y,NULL,NULL
Multi-Axial Diagnoses/Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Musculoskeletal Examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Musculoskeletal Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
N/V signs,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
Name of MD,Attending physician name?,NULL,52526-1,NULL,N,NULL,NULL
Narrative History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Negative Review of Systems,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,NULL
Neonatal problems?,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
NEURO ASSESSMENT,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,?
Neuro chief complaint,Chief Complaint Section,1.3.6.1.4.1.19376.1.5.3.1.1.13.2.1,10154-3,NULL,N,NULL,NULL
Neuro problem list,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Neurobehavioral Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
